type_name,type_id,lon,lat,temperature_c,precipitation_mm,relative_humidity,wind_speed_ms,solar_radiation
Forest fire,3,133.0394,59.4334,19.3,0.03,67.16,0.25,5.66
Forest fire,3,133.0036,59.5298,19.3,0.03,67.16,0.25,5.66
Forest fire,3,133.0039,59.571,19.3,0.03,67.16,0.25,5.66
Forest fire,3,133.0756,59.5844,19.3,0.03,67.16,0.25,5.66
Forest fire,3,133.1644,59.5411,19.3,0.03,67.16,0.25,5.66
Forest fire,3,133.3921,59.5973,19.3,0.03,67.16,0.25,5.66
Forest fire,3,133.4121,59.6281,19.3,0.03,67.16,0.25,5.66
Forest fire,3,133.1778,59.6615,19.3,0.03,67.16,0.25,5.66
Forest fire,3,133.1703,59.6919,19.3,0.03,67.16,0.25,5.66
Forest fire,3,133.7665,59.5722,18.6,0.05,69.66,0.17,5.66
Forest fire,3,133.8837,59.6368,18.6,0.05,69.66,0.17,5.66
Forest fire,3,135.2089,60.3495,19.0,0.03,68.76,0.23,4.92
Forest fire,3,135.3423,60.5093,18.03,0.02,71.46,0.18,4.92
Forest fire,3,135.2147,60.5926,19.0,0.03,68.76,0.23,4.92
Forest fire,3,134.5533,60.7246,19.57,0.03,66.47,0.24,4.92
Forest fire,3,134.4921,60.7064,19.57,0.03,66.47,0.24,4.92
